timestamps,TP9,AF7,AF8,TP10,Right AUX
1776092205.314,-29.297,-20.020,21.973,-109.375,0.000
1776092205.318,-258.301,-20.020,20.996,-207.520,0.000
1776092205.321,-375.488,-27.832,42.480,-247.559,0.000
1776092205.325,-223.633,-32.227,46.875,-183.105,0.000
1776092205.329,-36.133,-29.785,33.691,-99.609,0.000
1776092205.333,-187.988,-37.109,41.504,-155.273,0.000
1776092205.337,-389.648,-49.316,37.109,-244.629,0.000
1776092205.341,-312.988,-49.316,23.438,-217.285,0.000
1776092205.345,-63.965,-38.574,21.973,-106.934,0.000
1776092205.349,-116.699,-41.016,33.203,-125.488,0.000
1776092205.353,-361.816,-44.922,44.434,-229.980,0.000
1776092205.357,-344.238,-32.227,43.457,-215.820,0.000
1776092205.361,-115.723,-25.879,38.086,-119.141,0.000
1776092205.364,-57.617,-33.691,45.410,-95.703,0.000
1776092205.368,-295.898,-36.621,53.711,-195.801,0.000
1776092205.372,-368.164,-41.016,52.246,-231.934,0.000
1776092205.376,-182.129,-45.898,43.457,-156.250,0.000
1776092205.380,-33.203,-36.133,38.574,-85.449,0.000
1776092205.384,-233.398,-27.344,41.016,-166.992,0.000
1776092205.388,-374.023,-46.875,38.574,-227.051,0.000
1776092205.392,-236.816,-40.527,41.992,-163.086,0.000
1776092205.396,-6.348,-28.320,45.410,-60.547,0.000
1776092205.400,-139.160,-39.062,41.504,-121.094,0.000
1776092205.403,-354.004,-41.016,41.992,-215.820,0.000
1776092205.407,-267.578,-41.504,32.227,-169.922,0.000
1776092205.411,-23.438,-39.551,16.113,-69.336,0.000
1776092205.415,-71.289,-35.645,22.949,-88.379,0.000
1776092205.419,-294.434,-30.273,30.762,-180.664,0.000
1776092205.423,-269.531,-35.156,22.949,-175.781,0.000
1776092205.427,-47.363,-37.598,8.789,-67.871,0.000
1776092205.431,29.297,-41.992,-0.488,-27.344,0.000
1776092205.435,-209.961,-41.992,-1.465,-140.137,0.000
1776092205.439,-279.297,-36.133,-0.488,-164.062,0.000
1776092205.443,-71.777,-31.250,0.977,-58.105,0.000
1776092205.446,100.586,-20.996,-2.441,28.320,0.000
1776092205.450,-98.145,-28.320,-11.719,-60.547,0.000
1776092205.454,-252.441,-40.527,-11.719,-125.977,0.000
1776092205.458,-122.559,-45.410,-8.301,-62.012,0.000
1776092205.462,106.934,-40.039,-17.578,43.945,0.000
1776092205.466,-0.488,-35.645,-33.691,-4.883,0.000
1776092205.470,-208.984,-37.109,-37.598,-103.516,0.000
1776092205.474,-133.789,-27.344,-33.203,-64.941,0.000
1776092205.478,120.605,-23.926,-34.668,59.082,0.000
1776092205.482,112.793,-20.020,-43.457,47.852,0.000
1776092205.486,-120.117,-12.695,-40.039,-50.781,0.000
1776092205.489,-131.348,-19.043,-48.340,-48.828,0.000
1776092205.493,84.961,-13.184,-68.848,44.434,0.000
1776092205.497,191.895,-1.953,-69.824,98.145,0.000
1776092205.501,-18.555,-1.953,-52.246,14.648,0.000
1776092205.505,-105.469,-1.953,-52.246,-20.508,0.000
1776092205.509,65.918,-5.859,-69.336,53.711,0.000
1776092205.513,258.789,-12.207,-74.707,144.531,0.000
1776092205.517,95.703,-16.113,-80.566,77.637,0.000
1776092205.521,-75.684,-14.160,-88.867,0.977,0.000
1776092205.525,29.785,-9.766,-98.145,42.969,0.000
1776092205.528,267.090,-2.930,-100.098,154.785,0.000
1776092205.532,192.383,-3.906,-91.797,125.977,0.000
1776092205.536,-21.484,-10.254,-86.914,23.438,0.000
1776092205.540,23.438,-10.254,-88.867,42.969,0.000
1776092205.544,261.719,-3.906,-93.750,152.832,0.000
1776092205.548,278.809,1.953,-84.961,169.434,0.000
1776092205.552,30.273,-6.348,-89.355,52.246,0.000
1776092205.556,-8.301,-11.230,-104.492,24.902,0.000
1776092205.560,192.871,-9.277,-93.262,119.141,0.000
1776092205.564,300.293,-1.953,-87.402,172.363,0.000
1776092205.568,75.195,5.371,-92.285,68.359,0.000
1776092205.571,-37.598,-0.977,-85.938,15.137,0.000
1776092205.575,107.910,-1.953,-87.891,79.590,0.000
1776092205.579,286.621,3.906,-88.379,166.992,0.000
1776092205.583,131.836,3.906,-82.031,94.238,0.000
1776092205.587,-58.594,-0.488,-84.961,-1.465,0.000
1776092205.591,24.414,-9.766,-78.613,36.133,0.000
1776092205.595,249.023,-10.254,-74.707,134.766,0.000
1776092205.599,176.270,0.000,-74.219,100.586,0.000
1776092205.603,-59.082,-3.906,-66.895,-9.277,0.000
1776092205.607,-48.340,-14.160,-67.383,-12.207,0.000
1776092205.610,179.199,-15.137,-68.359,88.867,0.000
1776092205.614,216.309,-10.742,-67.871,108.398,0.000
1776092205.618,-32.227,-8.789,-65.918,-1.465,0.000
1776092205.622,-86.914,-8.301,-62.012,-39.551,0.000
1776092205.626,98.145,-10.742,-70.312,36.621,0.000
1776092205.630,230.469,-4.883,-70.312,117.188,0.000
1776092205.634,16.602,-5.371,-56.641,31.738,0.000
1776092205.638,-122.559,-5.859,-51.270,-35.156,0.000
1776092205.642,18.066,-6.348,-51.758,16.602,0.000
1776092205.646,215.820,-5.859,-49.805,104.492,0.000
1776092205.650,77.148,-2.441,-44.434,52.734,0.000
